Factory_Name,Factory_Type,Product_Type,Brands,Occasion,Supplier_Group,City,State,Country,Total_Workers,Line_Workers,Percent_Female_Workers,Percent_Migrant_Workers
YESIM TEKSTIL SANAYI VE TICARET  A.S.,MATERIALS,MATERIALS,NIKE,,YESIM,BURSA,BURSA,TURKEY,,,0.00,0.00
YESTERWEAR,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,LUMBERTON,NEW JERSEY,USA,70,55,0.60,0.00
YICHANE CO.LTD,FINISHED GOODS,EQUIPMENT,CONVERSE,,NO SUPPLIER GROUP,TAINAN,T'AI-WAN,TAIWAN,30,12,0.86,0.00
"YICHUN YISEN INDUSTRY CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,POU CHEN,YICHUN CITY,JIANGXI PROVINCE,CHINA,3246,2829,0.97,0.04
YIECHANG,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,FENG YUAN,TAICHUNG,TAIWAN,46,36,0.58,0.28
"YONGZHOU KAIXIANG SHOETOWN FOOTWEAR CO., LTD.",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,SHOETOWN,YONGZHOU,HUNAN,CHINA,1151,1035,0.89,0.07
"YOON TEXTILE CO., LTD",MATERIALS,MATERIALS,NIKE,,JOONGANG,BUSAN,BUSAN,SOUTH KOREA,,,0.00,0.00
YOU YOUNG,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,NO SUPPLIER GROUP,BUSAN,KOREA,SOUTH KOREA,239,86,0.17,0.00
YOU YOUNG (KOREA),MATERIALS,MATERIALS,"NIKE, CONVERSE",,YOU YOUNG,BUSAN,,SOUTH KOREA,,,0.00,0.00
YOU YOUNG (VIETNAM),MATERIALS,MATERIALS,NIKE,,YOU YOUNG,BEN CAT,BINH DUONG,VIETNAM,,,0.00,0.00
YOUNG IL LEATHER CO. (KOREA),MATERIALS,MATERIALS,NIKE,,YOUNG IL,SAHA-GU,BUSAN,SOUTH KOREA,,,0.00,0.00
YOUNG IL VIETNAM,MATERIALS,MATERIALS,NIKE,,YOUNG IL,TRANG BANG DISTRICT,TAY NINH,VIETNAM,,,0.00,0.00
"YOUNG POONG TEXTILE CO., LTD",MATERIALS,MATERIALS,NIKE,,JOONGANG,BUSAN,SOUTH GYEONGSANG,SOUTH KOREA,,,0.00,0.00
"YRC TEXTILE CO.,LTD.",MATERIALS,MATERIALS,NIKE,,YRC,KRATOOMBAN,SAMUTSAKORN,THAILAND,,,0.00,0.00
YUAN LING,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,YUAN LING,CHANGHUA CITY,T'AI-WAN,TAIWAN,245,116,0.47,0.63
"YUMEI(SHANTOU GARMENTS CO., LTD)",FINISHED GOODS,APPAREL,"NIKE, HURLEY",Collegiate,EAGLE NICE,SHANTOU,GUANGDONG,CHINA,2480,1762,0.75,0.00
YUPOONG VIET NAM,FINISHED GOODS,APPAREL,HURLEY,,YUPOONG,BIEN HOA CITY,DONG NAI,VIETNAM,2002,1869,0.92,0.00
"ZAO ZHUANG RUIXING SHOES CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,CHANGSHIN,ZAOZHUANG CITY,SHANDONG,CHINA,2026,1916,0.96,0.00
ZHANGJIAGANG CHINA RESOURCES ACCESSORIZES CO.LTD,FINISHED GOODS,EQUIPMENT,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,ZHANGJIAGANG,JIANGSU,CHINA,232,202,0.78,0.00
"ZHANGJIAJIE EXCELLENCE SPORT PRODUCTS CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,ZHANGJIAJIE,HUNAN,CHINA,268,243,0.95,0.00
"ZHEJIANG CLIS FASHION CO., LTD.",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,HANGZHOU,ZHEJIANG,CHINA,46,38,0.72,0.00
ZHEJIANG GUANGTAI DELTA SOCKS CO. LTD.,FINISHED GOODS,EQUIPMENT,NIKE,,DELTA,"CAOTA TOWN, ZHUJI",ZHEJIANG,CHINA,241,197,0.56,0.89
ZHEJIANG QIAOER TINTING GARMENT CO LTD,FINISHED GOODS,APPAREL,NIKE,,DELTA,SHANGYU CITY,ZHEJIANG,CHINA,1213,972,0.79,0.00
ZHENJIANG TUNTEX GARMENT CO; LTD.,FINISHED GOODS,APPAREL,NIKE,,TUNG MUNG,ZHENJIANG,JIANGSU,CHINA,538,401,0.90,0.00
"ZHIJIE FOOTWEAR TECHNICAL SERVICE(ZHONGSHAN)CO.,LTD..",FINISHED GOODS,FOOTWEAR,CONVERSE,,HONG FU,ZHONGSHAN,GUANGDONG,CHINA,658,258,0.74,0.00
"ZHONGSHAN CITY SANXIANG HENG LONG GARMENT FACTORY CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,,FU SON,ZHONGSHAN,GUANGDONG,CHINA,898,509,0.59,0.79
"ZHONGSHAN WEI LI TEXTILE CO.,LTD.",FINISHED GOODS,EQUIPMENT,CONVERSE,,SUPERCAP,ZHONGSHAN,GUANGDONG,CHINA,2434,2140,0.65,0.00
"ZHUJI HENGTAI KNITTING & TEXTILE CO., LTD.",FINISHED GOODS,EQUIPMENT,"NIKE, CONVERSE, HURLEY",,DELTA,ZHUJI,ZHEJIANG,CHINA,146,135,0.59,0.84
