Factory_Name,Factory_Type,Product_Type,Brands,Occasion,Supplier_Group,City,State,Country,Total_Workers,Line_Workers,Percent_Female_Workers,Percent_Migrant_Workers
PT EAGLE NICE INDONESIA,FINISHED GOODS,APPAREL,NIKE,Collegiate,EAGLE NICE,KABUPATEN SERANG,BANTEN,INDONESIA,2773,2010,0.70,0.01
PT GLOSTAR INDONESIA,FINISHED GOODS,FOOTWEAR,CONVERSE,,POU CHEN,SUKABUMI,WEST JAVA,INDONESIA,6905,5451,0.82,0.01
PT GREENTEX INDONESIA UTAMA,FINISHED GOODS,APPAREL,NIKE,Collegiate,GREEN TEXTILES,JAKARTA UTARA,DKI JAKARTA,INDONESIA,1412,1264,0.90,0.00
PT KAHOINDAH CITRAGARMENT,FINISHED GOODS,APPAREL,NIKE,Collegiate,HOJEON,BEKASI,WEST JAVA,INDONESIA,2600,1478,0.86,0.01
PT KMK GLOBAL SPORTS / K1,FINISHED GOODS,FOOTWEAR,NIKE,,KMK,TANGERANG,BANTEN,INDONESIA,12631,11211,0.76,0.00
PT KUKDONG INTERNATIONAL,FINISHED GOODS,APPAREL,NIKE,Collegiate,KUKDONG,BEKASI,WEST JAVA,INDONESIA,1036,768,0.91,0.00
PT MITRA GARINDO PERKASA,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,BOGOR,WEST JAVA,INDONESIA,538,309,0.90,0.00
PT MORICH INDO FASHION,FINISHED GOODS,APPAREL,NIKE,,MORICH,,KECAMATAN BERGAS,INDONESIA,2307,42,0.84,0.00
PT NIKOMAS GEMILANG,FINISHED GOODS,FOOTWEAR,NIKE,,POU CHEN,SERANG,BANTEN,INDONESIA,20315,16663,0.83,0.00
PT PANTJATUNGGAL KNITTING MILL,FINISHED GOODS,APPAREL,NIKE,,PT PANTJA,SEMARANG,JAWA TENGAH,INDONESIA,1980,1711,0.90,0.00
PT PRATAMA ABADI INDUSTRI,FINISHED GOODS,FOOTWEAR,NIKE,,PRATAMA,TANGERANG SELATAN,BANTEN,INDONESIA,7986,6440,0.78,0.01
PT PRATAMA ABADI INDUSTRI,FINISHED GOODS,FOOTWEAR,NIKE,,PRATAMA,SUKABUMI,WEST JAVA,INDONESIA,19803,18137,0.70,0.00
PT R PRIMA JAYA,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,SEMARANG,CENTRAL JAVA,INDONESIA,672,560,0.88,0.00
PT SEMARANG GARMENT,FINISHED GOODS,APPAREL,NIKE,Collegiate,KUKDONG,SEMARANG,CENTRAL JAVA,INDONESIA,3415,2245,0.95,0.01
PT TRIGOLDENSTAR WISESA,FINISHED GOODS,APPAREL,NIKE,,TRIGOLDENSTAR,KARAWANG,WEST JAVA,INDONESIA,1027,725,0.83,0.00
PT TUNTEX GARMENT INDONESIA-CKP,FINISHED GOODS,APPAREL,"NIKE, HURLEY",,TUNG MUNG,TANGERANG,BANTEN,INDONESIA,1561,1135,0.89,0.00
PT TUNTEX GARMENT INDONESIA-TGR,FINISHED GOODS,APPAREL,"NIKE, HURLEY",,TUNG MUNG,TANGERANG,BANTEN,INDONESIA,1153,589,0.90,0.00
